Klinik_Name,Title,Department,Date,Review,Rating
HEH Herzogin Elisabeth Hospital,Bewertung,Chirurgie,09.06.2021,"['Sehr höfliche und hilfsbereite Mitarbeiter.', '', 'Sehr schöne Außenanlage die besser gepflegt werden könnte. Frostschäden an Rosen.', '', 'Sehr fähiges medizinisches Personal jederzeit gerne wieder.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Weiter so HEH,Chirurgie,09.06.2021,['Kann ich nur weiterempfehlen!! Sehr gutes Pflegepersonal und Ärzte!!????'],"['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden (Super Dr.Bollenbach)', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Superklinik,Orthopädie,07.06.2021,['Bestens durchorganisiert.gutes Personal geht individuell auf die Bedürfnisse der Patienten ein. Medizinische Kompetenz nicht zu toppen.'],"['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Kranken- oder Hotelzimmer?,BeuleKeule2110,25.05.2021,"[""Bin nach einem Autounfall im HEH gewesen und habe mich medizinisch auf's Beste versorgt gefühlt. Das Pflegepersonal ist überaus hilfsbereit und die Dame am Empfang über die Maßen freundlich. Es fehlte an nichts! Hab mich eher wie im Hotel gefühlt, was nicht zuletzt an der mit Schleifchen versehenen Tüte mit Pflegeprodukten lag. Großes Lob an alle!""]","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Knie OP,Orthopädie,11.05.2021,"['Wurde bereits im Sept. 2020 am Knie operiert. Volle Zufriedenheit im medizinischen Bereich (Prof. Dr. Heller mit Kollegen und Kolleginnen), Pflegepersonal Station 6 und Physio Abt., sowie der Küche im HEH. Es war für mich keine Frage auch mein anderes Knie im HEH operieren zulassen. Dies ist jetzt erfolgt und ich wurde wieder in der Wahl des HEH bestätigt, 6 Sterne von 6 möglichen. Auch eine Empfehlung an einen Bekannten, mit bereits abgeschlossener OP, bei Prof. Dr. Heller, kam zum selben Ergebnis. 6 Sterne']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden (Keine negativen Merkmale im Gesamtbereich der Klinik)', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden (Sehr gute medizinische und pflegerische Betreuung, gute OP, keine Folgeschmrrzen nach der OP,)', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Beste Erfahrungen im HEH,Chirurgie,09.05.2021,"['Da ich zeit meines Lebens noch nie einen Krankenhausaufenthalt nötig hatte, war ich natürlich sehr angespannt, dass ich nun doch so etwas mal kennenlernen sollte. Die Anspannung legte sich allerdings sehr schnell, ich habe mich im HEH sehr gut aufgehoben gefühlt. Ärzte und Schwestern waren durchgängig freundlich und hilfsbereit, besonders Herr Nikolas Bollenbach als Operateur hat sich immer wieder um mich gekümmert. Die Operation selbst verlief komplikationslos und vor allem ohne Folgeschmerzen. ', 'Alles in allem eine sehr positive Erfahrung. Niemand wünscht sich einen Krankenhausaufenthalt, sollte es aber doch wieder einmal notwendig sein, dann nur im HEH!']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Superkompetent und freundlich,Verstoß melden,07.05.2021,"['Das gesamte Personal von der Notaufnahme über die Station 2, die Aufwachstation - alle sind sehr freundlich und zugewandt. Ebenso die Küche und das Reinigungspersonal. Ich habe mich sehr gut aufgehoben, behandelt und betreut gefühlt. Jeder achtet auf die Hygienevorschriften, es herrscht ein fröhlich-freundschaftlicher Ton und Umgang.  Das wirkt sich auf die Patienten aus. Gerne weiter so ????????']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Endlich eine Diagnose,Rheuma,05.05.2021,"['Seit über 10 Jahren lebe ich mit Symptomen und dazu fehlte mir eine Erklärung. Dank meiner Hausärztin wurde ich in dieses Hospital eingewiesen. Nun zu meiner Erfahrung: Dank einer Zusatzversicherung konnte ich mir die Wahlleistungen ""gönnen"", daher hatte ich ein Einzelzimmer. Aber ich denke vom Service des Pflegepersonals macht dieses hoffentlich keinen Unterschied. Das Pflegepersonal und die Krankenschwestern waren sehr freundlich und hilfsbereit, auch so ein zwei Extra-Wünsche wurden gern erfüllt. Man hat sich sehr wohl gefühlt. Das Ärztinnen-Team um Frau Dr.Mahn, mit Frau Dr.Ghonien und Frau Dr. Heinecke waren sehr genau in der Aufnahme und den Untersuchungen, dabei freundlich und aufklärend.Bei der Diagnose habe ich das Gefühl gehabt, dass Fr.Dr.Mahn sich ""gefreut"" hat, mir weiterhelfen zu können...das spricht für Ehrgeiz, das habe ich nicht oft erlebt. Erwähnen möchte ich gern noch, dass sich Dr.Thorban, ein anderer Bereichsarzt, unaufgefordert und aus Eigenintersse sich die Zeit genommen hat und mich aus seiner Sicht nochmals untersucht hat. Also ist das Interesse am Patienten, so wie ich es kennenlernen durfte, sehr groß. Vergessen möchte ich auch nicht, dass es sogar einen Therapieplan für Ergo und Physio gibt, dort werden Tipps zur Ernährung und Alltagshilfen vermittelt und Anwendungen durchgeführt.Das Personal ist dort auch lobend zu erwähnen. Zu der Unterkunft: Es ist okay, für ein Krankenhaus und man hat sich wohlgefühlt und war sehr sauber. Das Essen ist gut, da habe ich über andere KKH ganz andere Sachen gehört. Hier war es wirklich gut, Lob an die Küche... Fazit: Ich habe mich sehr wohl gefühlt und mir wurde endlich geholfen. Ich bin sehr froh, dass ich hier sein durfte. Danke an ALLE']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Schlecht behandelt,Verstoß melden,15.04.2021,['Ich war in der Notaufnahme hatte Todes Schmerzen die Ärztin oder das was sie auch immer war machte mich blöd an warum ich so spät komme einfach unmenschlich und der Assistent Arzt genau das selbe das es so welche Ärzte übe rhaubt auf dieser Welt gibt einfach nur furchtbar nie wieder da.'],"['', '', 'Gesamtzufriedenheit:', 'unzufrieden', '', 'Qualität der Beratung:', 'unzufrieden', '', 'Mediz. Behandlung:', 'unzufrieden', '', 'Verwaltung und Abläufe:', 'unzufrieden', '', 'Ausstattung und Gestaltung:', 'weniger zufrieden', '', '', '']"
HEH Herzogin Elisabeth Hospital,Top Klinik,Orthopädie,13.04.2021,"['Eine absolut Superklinik.Habe eine neue Hüfte bekommen und konnte nach ca 4Stunden schmerzlos die ersten Schritte gehen.Meinen besten Dank an Dr.Krüger.Aber ich möchte nicht die Station 3 mit den tollen und zuvorkommenden Schwestern und Pflegern sowie den Physiotherapeuten vergessen.Falls ich nochmal eine Klinik aussuchen müsste,dann wäre es Das HEH in Braunschweig.']","['', '', 'Gesamtzufriedenheit:', 'sehr zufrieden', '', 'Qualität der Beratung:', 'sehr zufrieden', '', 'Mediz. Behandlung:', 'sehr zufrieden', '', 'Verwaltung und Abläufe:', 'sehr zufrieden', '', 'Ausstattung und Gestaltung:', 'sehr zufrieden', '', '', '']"
